,sizes,is_active,labs,f1_scores
0,50,True,labF,0.40236686390532544
1,100,True,labF,0.5917808219178082
2,150,True,labF,0.6936708860759494
3,200,True,labF,0.7050000000000001
4,250,True,labF,0.7543424317617865
5,300,True,labF,0.7737226277372262
6,350,True,labF,0.8067632850241546
7,400,True,labF,0.8057553956834532
8,50,False,labF,0.39169139465875363
9,100,False,labF,0.4593023255813953
10,150,False,labF,0.532967032967033
11,200,False,labF,0.5348189415041783
12,250,False,labF,0.550561797752809
13,300,False,labF,0.558904109589041
14,350,False,labF,0.5626740947075209
15,400,False,labF,0.5439560439560439
16,50,True,labS,0.43874643874643876
17,100,True,labS,0.6005221932114881
18,150,True,labS,0.7002518891687657
19,200,True,labS,0.7044334975369458
20,250,True,labS,0.7445255474452555
21,300,True,labS,0.7696078431372548
22,350,True,labS,0.7673267326732673
23,400,True,labS,0.7892156862745098
24,50,False,labS,0.3136094674556213
25,100,False,labS,0.4365781710914454
26,150,False,labS,0.48022598870056493
27,200,False,labS,0.52
28,250,False,labS,0.5849582172701949
29,300,False,labS,0.5738161559888579
30,350,False,labS,0.5792349726775957
31,400,False,labS,0.5761772853185596
32,50,True,labT,0.4623955431754875
33,100,True,labT,0.5931758530183727
34,150,True,labT,0.6748768472906405
35,200,True,labT,0.7070217917675545
36,250,True,labT,0.696078431372549
37,300,True,labT,0.7313432835820896
38,350,True,labT,0.7263922518159807
39,400,True,labT,0.7463414634146341
40,50,False,labT,0.3421828908554573
41,100,False,labT,0.42506811989100823
42,150,False,labT,0.5040214477211796
43,200,False,labT,0.4738292011019284
44,250,False,labT,0.5661375661375662
45,300,False,labT,0.5303867403314917
46,350,False,labT,0.5351351351351351
47,400,False,labT,0.5768194070080862
48,50,True,lab0,0.5810055865921788
49,100,True,lab0,0.653950953678474
50,150,True,lab0,0.7210526315789473
51,200,True,lab0,0.7338501291989664
52,250,True,lab0,0.7225130890052357
53,300,True,lab0,0.7447916666666666
54,350,True,lab0,0.7786259541984732
55,400,True,lab0,0.7727272727272727
56,50,False,lab0,0.29299363057324845
57,100,False,lab0,0.32704402515723274
58,150,False,lab0,0.45768025078369906
59,200,False,lab0,0.47706422018348627
60,250,False,lab0,0.5781710914454278
61,300,False,lab0,0.5391304347826088
62,350,False,lab0,0.6114285714285714
63,400,False,lab0,0.6106442577030812
